RoleID,RoleName,Question,AccessLevel
R001,Doctor,What is the name and age of the patient with appointment ID 1?,Within
R001,Doctor,Who is the primary care physician for Grace Davis and what is her access control designation?,Within
R001,Doctor,What is the name of the doctor with doctor ID 7 and what hospital are they affiliated with?,Within
R001,Doctor,What is the name and access control designation of the patient with appointment ID 11?,Within
R001,Doctor,What is the name and age of the patient under Dr. Jane Smith's care with access control designation of Doctor and Patient?,Within
R001,Doctor,What is the name of the doctor who works at the Ortho Institute?,Within
R001,Doctor,What is the name and access control designation of the patient with appointment ID 3?,Within
R001,Doctor,What is the name of the nurse with nurse ID 5?,Within
R001,Doctor,What is the name and hospital affiliation of the doctor with ID 9?,Within
R001,Doctor,What is the name and age of the patient under Dr. John Johnson's care with an access control designation of Patient?,Within
R001,Doctor,What is the name and age of the patient with appointment ID 4 according to table 2?,Outside
R001,Doctor,What is the name of the primary care physician for Mike Williams according to table 1?,Outside
R001,Doctor,What hospital is doctor Jessica Moore affiliated with according to table 4?,Outside
R001,Doctor,What is the access control for appointment ID 9 according to table 2?,Outside
R001,Doctor,What are the names of the nurses who work the night shift according to table 5?,Outside
R001,Doctor,What is the name of the administrator for billing record 7 according to table 3?,Outside
R001,Doctor,What is the access control for patient Tom Wilson according to table 1?,Outside
R001,Doctor,What is the name of the doctor with doctor ID 13 according to table 4?,Outside
R001,Doctor,What are the names and ages of the patients under Dr. Jane Smith's care according to table 1?,Outside
R001,Doctor,What is the name of the nurse with nurse ID N1015 according to table 5?,Outside
R002,Doctor,What is the name and age of the patient with appointment ID 1?,Within
R002,Doctor,Who is the primary care physician for Emily Davis and what is her access control designation?,Within
R002,Doctor,What is the name of the doctor with doctor ID 7 and what hospital are they affiliated with?,Within
R002,Doctor,What is the name and access control designation of the nurse assigned to appointment ID 3?,Within
R002,Doctor,What is the name and age of the patient assigned to Dr. Jane Smith as their primary care physician?,Within
R002,Doctor,What is the name of the doctor with ID 10 and what institute are they affiliated with?,Within
